15:42:52:569  | 066    SU Supply voltage    Enabled
15:42:52:569  | 067    SU  3.5V reference voltage    Enabled
15:42:52:569  | 068    SU       Info   Disabled
15:42:52:569  | 072    WU Direction minimum   Disabled
15:42:52:569  | 073    WU Direction average    Enabled
15:42:52:569  | 074    WU Direction maximum   Disabled
15:42:52:569  | 075    WU Speed minimum   Disabled
15:42:52:569  | 076    WU Speed average    Enabled
15:42:52:569  | 077    WU Speed maximum    Enabled
15:42:52:569  | 078    TU Air temperature    Enabled
15:42:52:569  | 079    TU Pressure temperature   Disabled
15:42:52:569  | 080    TU Relative humidity    Enabled
15:42:52:569  | 081    TU Barometric pressure    Enabled
15:42:52:569  | 082    RU Rain amount    Enabled
15:42:52:569  | 083    RU Rain duration   Disabled
15:42:52:569  | 084    RU Rain intensity    Enabled
15:42:52:569  | 085    RU Hail amount   Disabled
15:42:52:569  | 086    RU Hail duration   Disabled
15:42:52:569  | 087    RU Hail intensity   Disabled
15:42:52:569  | 088    RU  Rain peak   Disabled
15:42:52:569  | 089    RU  Hail peak   Disabled
15:42:52:569  | 090    SU Heating temperature   Disabled
15:42:52:569  | 091    SU Heat voltage   Disabled
15:42:52:569  | 092    SU Supply voltage   Disabled
15:42:52:569  | 093    SU  3.5V reference voltage   Disabled
15:42:52:569  | 094    SU       Info   Disabled
15:42:52:569  | UpdateDefaultProfile 5
15:42:52:569  | UpdateDefaultProfile ended.
15:42:52:569  | OnDestroy ended.
